# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  105       4.315339741790e-10       1.278999873641e-13      -4.066963384657e-12       0.000000000000e+00       1.128522651230e-11      -2.771793197535e-13      -7.697363583489e-15 
  106       4.364466810770e-10       1.299658116097e-13      -4.166737709462e-12       0.000000000000e+00       1.099502549268e-11      -2.559607923910e-13      -7.618857728182e-15 
  107       4.413847265681e-10       1.319962165231e-13      -4.266117627186e-12       0.000000000000e+00       1.071416503828e-11      -2.356959945620e-13      -7.538490911116e-15 
  108       4.463476723425e-10       1.339891881495e-13      -4.365022059853e-12       0.000000000000e+00       1.044255118951e-11      -2.163672135588e-13      -7.456573987344e-15 
  109       4.513349510843e-10       1.359427162647e-13      -4.463369177397e-12       0.000000000000e+00       1.018002065598e-11      -1.979505319680e-13      -7.373433301403e-15 
  110       4.563458617834e-10       1.378547955187e-13      -4.561076427270e-12       0.000000000000e+00       9.926338598136e-12      -1.804156400169e-13      -7.289410917510e-15 
  111       4.613795650485e-10       1.397234265793e-13      -4.658060564035e-12       0.000000000000e+00       9.681196408958e-12      -1.637256479197e-13      -7.204864849764e-15 
  112       4.664350784189e-10       1.415466172758e-13      -4.754237678966e-12       0.000000000000e+00       9.444209495584e-12      -1.478368982236e-13      -7.120169292345e-15 
  113       4.715112716772e-10       1.433223837428e-13      -4.849523229653e-12       0.000000000000e+00       9.214915061004e-12      -1.326987781551e-13      -7.035714849712e-15 
  114       4.766068621616e-10       1.450487515637e-13      -4.943832069592e-12       0.000000000000e+00       8.992769885710e-12      -1.182535319662e-13      -6.951908766802e-15 
  115       4.817204100781e-10       1.467237569145e-13      -5.037078477795e-12       0.000000000000e+00       8.777148109370e-12      -1.044360732804e-13      -6.869175159231e-15 
  116       4.868505030393e-10       1.483455006751e-13      -5.129177003581e-12       0.000000000000e+00       8.567476741014e-12      -9.118676139351e-14      -6.787870120276e-15 
  117       4.919963451570e-10       1.499123157824e-13      -5.220045054230e-12       0.000000000000e+00       8.363665623334e-12      -7.849189361400e-14      -6.708014840307e-15 
  118       4.971572311026e-10       1.514226224665e-13      -5.309600678989e-12       0.000000000000e+00       8.165725821564e-12      -6.634780655755e-14      -6.629530320949e-15 
  119       5.023323603080e-10       1.528748786982e-13      -5.397761818427e-12       0.000000000000e+00       7.973635582746e-12      -5.474828046450e-14      -6.552319078214e-15 
  120       5.075208339505e-10       1.542675818007e-13      -5.484446341248e-12       0.000000000000e+00       7.787339335155e-12      -4.368446616982e-14      -6.476264620059e-15 
  121       5.127216519388e-10       1.555992700618e-13      -5.569572081091e-12       0.000000000000e+00       7.606746687720e-12      -3.314481207316e-14      -6.401230923953e-15 
  122       5.179337098982e-10       1.568685243457e-13      -5.653056873343e-12       0.000000000000e+00       7.431731429451e-12      -2.311499110884e-14      -6.327061914433e-15 
  123       5.231557961557e-10       1.580739697052e-13      -5.734818591943e-12       0.000000000000e+00       7.262130528857e-12      -1.357782771588e-14      -6.253580940673e-15 
  124       5.283865887262e-10       1.592142769935e-13      -5.814775186189e-12       0.000000000000e+00       7.097743133378e-12      -4.513224808000e-15      -6.180590254043e-15 
  125       5.336246522971e-10       1.602881644764e-13      -5.892844717548e-12       0.000000000000e+00       6.938329568799e-12       4.101909256353e-15      -6.107870485670e-15 
  126       5.388684352146e-10       1.612943994440e-13      -5.968945396459e-12       0.000000000000e+00       6.783610338680e-12       1.229373370400e-14      -6.035180124006e-15 
  127       5.441162664682e-10       1.622317998228e-13      -6.042995619145e-12       0.000000000000e+00       6.633265123778e-12       2.009154837701e-14      -5.962254992383e-15 
  128       5.493663526771e-10       1.630992357881e-13      -6.114914004416e-12       0.000000000000e+00       6.486931781470e-12       2.752786676269e-14      -5.888807726581e-15 
  129       5.546169588920e-10       1.638956749447e-13      -6.184620302873e-12       0.000000000000e+00       6.344283345299e-12       3.463269058666e-14      -5.814601981856e-15 
  130       5.598669798307e-10       1.646203200518e-13      -6.252038159098e-12       0.000000000000e+00       6.205270699213e-12       4.141546834613e-14      -5.739685367671e-15 
  131       5.651154259029e-10       1.652724895239e-13      -6.317092723445e-12       0.000000000000e+00       6.069904758029e-12       4.788128640402e-14      -5.664181197839e-15 
  132       5.703612433277e-10       1.658515771200e-13      -6.379709849440e-12       0.000000000000e+00       5.938180415579e-12       5.403652124238e-14      -5.588216063816e-15 
  133       5.756033124347e-10       1.663570538678e-13      -6.439816136825e-12       0.000000000000e+00       5.810076102272e-12       5.988887100092e-14      -5.511919846996e-15 
  134       5.808404459642e-10       1.667884699872e-13      -6.497338974611e-12       0.000000000000e+00       5.685553342656e-12       6.544738701551e-14      -5.435425731012e-15 
  135       5.860713873686e-10       1.671454568141e-13      -6.552206584126e-12       0.000000000000e+00       5.564556312985e-12       7.072250535660e-14      -5.358870214039e-15 
  136       5.912948091128e-10       1.674277287243e-13      -6.604348062068e-12       0.000000000000e+00       5.447011398784e-12       7.572607836779e-14      -5.282393121084e-15 
  137       5.965093109749e-10       1.676350850570e-13      -6.653693423550e-12       0.000000000000e+00       5.332826752408e-12       8.047140620425e-14      -5.206137616294e-15 
  138       6.017134183475e-10       1.677674120389e-13      -6.700173645152e-12       0.000000000000e+00       5.221891850611e-12       8.497326837125e-14      -5.130250215253e-15 
  139       6.069055805376e-10       1.678246847077e-13      -6.743720707973e-12       0.000000000000e+00       5.114077052104e-12       8.924795526264e-14      -5.054880797277e-15 
  140       6.120841690683e-10       1.678069688357e-13      -6.784267640675e-12       0.000000000000e+00       5.009233155127e-12       9.331329969932e-14      -4.980182617719e-15 
  141       6.172474759790e-10       1.677144228541e-13      -6.821748562541e-12       0.000000000000e+00       4.907190955007e-12       9.718870846772e-14      -4.906312320265e-15 
  142       6.223937121262e-10       1.675472997762e-13      -6.856098726515e-12       0.000000000000e+00       4.807760801723e-12       1.008951938583e-13      -4.833429949234e-15 
  143       6.275210054845e-10       1.673059491215e-13      -6.887254562261e-12       0.000000000000e+00       4.710732157472e-12       1.044554052042e-13      -4.761698961877e-15 
  144       6.326275444104e-10       1.669908298854e-13      -6.915154288443e-12       0.000000000000e+00       4.615917344667e-12       1.078891613219e-13      -4.691250923956e-15 
  145       6.377120269401e-10       1.666025468283e-13      -6.939739726743e-12       0.000000000000e+00       4.523288584876e-12       1.111994848587e-13      -4.622075647805e-15 
  146       6.427732527624e-10       1.661418214379e-13      -6.960954749349e-12       0.000000000000e+00       4.432853691931e-12       1.143852446627e-13      -4.554120196308e-15 
  147       6.478099813748e-10       1.656094831738e-13      -6.978744771691e-12       0.000000000000e+00       4.344612907838e-12       1.174455368795e-13      -4.487323038085e-15 
  148       6.528209312169e-10       1.650064714548e-13      -6.993056798763e-12       0.000000000000e+00       4.258558714310e-12       1.203796906344e-13      -4.421613856813e-15 
  149       6.578047788050e-10       1.643338376465e-13      -7.003839471438e-12       0.000000000000e+00       4.174675644298e-12       1.231872737134e-13      -4.356913360563e-15 
  150       6.627601578652e-10       1.635927470477e-13      -7.011043112796e-12       0.000000000000e+00       4.092940093523e-12       1.258680982450e-13      -4.293133091124e-15 
  151       6.676856584681e-10       1.627844808786e-13      -7.014619774442e-12       0.000000000000e+00       4.013320132006e-12       1.284222263821e-13      -4.230175233335e-15 
  152       6.725798261618e-10       1.619104382675e-13      -7.014523282828e-12       0.000000000000e+00       3.935775315605e-12       1.308499759832e-13      -4.167932424417e-15 
  153       6.774411611068e-10       1.609721382380e-13      -7.010709285572e-12       0.000000000000e+00       3.860256497541e-12       1.331519262941e-13      -4.106287563297e-15 
  154       6.822681172090e-10       1.599712216964e-13      -7.003135297785e-12       0.000000000000e+00       3.786705639935e-12       1.353289236296e-13      -4.045113619941e-15 
  155       6.870591012540e-10       1.589094534191e-13      -6.991760748384e-12       0.000000000000e+00       3.715055625338e-12       1.373820870553e-13      -3.984273444685e-15 
  156       6.918124720412e-10       1.577887240396e-13      -6.976547026420e-12       0.000000000000e+00       3.645230068261e-12       1.393128140688e-13      -3.923619577562e-15 
  157       6.965265395171e-10       1.566110520355e-13      -6.957457527397e-12       0.000000000000e+00       3.577143126711e-12       1.411227862814e-13      -3.862994057632e-15 
  158       7.011995639097e-10       1.553785857165e-13      -6.934457699592e-12       0.000000000000e+00       3.510699313720e-12       1.428139750999e-13      -3.802228232311e-15 
  159       7.058297548624e-10       1.540936052109e-13      -6.907515090378e-12       0.000000000000e+00       3.445793308877e-12       1.443886474081e-13      -3.741142566703e-15 
  160       7.104152705674e-10       1.527585244531e-13      -6.876599392543e-12       0.000000000000e+00       3.382309769862e-12       1.458493712485e-13      -3.679546452927e-15 
  161       7.149543433885e-10       1.513758337139e-13      -6.841682242602e-12       0.000000000000e+00       3.320146785056e-12       1.471987501905e-13      -3.617281181471e-15 
  162       7.194456710297e-10       1.499479173082e-13      -6.802736498431e-12       0.000000000000e+00       3.259288957735e-12       1.484385881094e-13      -3.554353525985e-15 
  163       7.238880584642e-10       1.484772234890e-13      -6.759736985982e-12       0.000000000000e+00       3.199740454802e-12       1.495706610613e-13      -3.490813662338e-15 
  164       7.282802942753e-10       1.469663241557e-13      -6.712660786368e-12       0.000000000000e+00       3.141501867929e-12       1.505969863514e-13      -3.426713076934e-15 
