# Matter power spectrum P(k) at redshift z=0
# for k=1.03438e-05 to 1.68952 h/Mpc,
# number of wavenumbers equal to 608
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.142306017310e-01       1.783036843031e+02 
       7.173852471647e-01       1.765615913233e+02 
       7.205398926528e-01       1.748421939752e+02 
       7.236945381945e-01       1.731452239474e+02 
       7.268491837892e-01       1.714720701785e+02 
       7.300038294361e-01       1.698220735765e+02 
       7.331584751345e-01       1.681942295173e+02 
       7.363131208839e-01       1.665881682835e+02 
       7.394677666835e-01       1.650023194063e+02 
       7.426224125327e-01       1.634368267477e+02 
       7.457770584309e-01       1.618915494619e+02 
       8.164864730490e-01       1.320484592448e+02 
       9.197385967762e-01       1.007198051939e+02 
       1.084887377763e+00       6.882666956080e+01 
       1.343291443719e+00       4.170624045243e+01 
       1.689521797387e+00       2.413105110375e+01 
